registration_number,title_en,start_date,end_date,status,owner_org
C-251203,Horizontal Red Tape Reviews,2025-12-03,2026-02-28,O,tbs-sct
C-0033391,Proposed Regulations Amending the Single-use Plastics Prohibition Regulations,2025-12-20,2026-02-28,O,ec
C-0000146,A Reimagined Visitor Centre and Community Space in the Heart of Banff,2026-01-30,2026-02-27,O,pc
C-000143,Consultation on draft legislative proposals to implement certain tax measures announced in Budget 2025 or earlier,2026-01-29,2026-02-27,O,fin
85832-3,"Great Bear Gold Project
Public notice
Participant funding available",2026-01-21,2026-02-20,O,iaac-aeic
89271-3,"Shaakichiuwaanaan Mining Project
Public Notice
Participant Funding Available",2026-01-15,2026-02-16,O,iaac-aeic
80702-2,"Fording River Extension Project
Public notice
Public comments invited on the draft guidelines and plans",2026-01-15,2026-02-15,O,iaac-aeic
C-2026-009,Telephone Reporting Sites in areas formerly covered by the Remote Area Border Crossing permit program,2026-01-26,2026-02-13,O,cbsa-asfc
C-0033298,"Share your views and ideas: Review of the Environmental Emergency Regulations, 2019",2025-12-15,2026-02-13,O,ec
90103,"Lawyers-Ranch Project
Public Notice
Public Comments Invited and Funding Available",2026-01-13,2026-02-12,O,iaac-aeic
89802,New Nuclear at Wesleyville Project,2026-01-12,2026-02-11,O,iaac-aeic
1136,Preliminary Consultation for the Upset Prevention and Recovery Training (UPRT) Initiative - for air operators regulated under subpart 705,2025-12-22,2026-02-05,O,tc
C-0033354,Science approach document on the prioritization of chemicals in plastics,2025-12-06,2026-02-04,O,ec
88774,Deep Geological Repository (DGR) for Canada's Used Nuclear Fuel Project,2026-01-05,2026-02-04,O,iaac-aeic
STC0000079,Contribute to Statistics Canada’s consultative engagement on the Residential Building Occupancy Project,2025-10-23,2026-01-31,O,statcan
C-0033390,"Driving Effective Carbon 
Markets in Canada",2025-12-18,2026-01-30,O,ec
80140-4,"Valentine Gold Project
Public notice
Public Comments Invited on Proposed Amendments to the Decision Statement",2026-01-09,2026-01-30,O,iaac-aeic
C0000247,2025 online survey of newcomers to Canada,2025-12-01,2026-01-01,O,cic
STC0000077,Share your feedback on Census of Environment products,2025-09-25,2025-12-31,O,statcan
C-0000702,Indigenous Ministerial Arrangements Regulations,2022-07-25,2025-12-31,O,nrcan-rncan
C-0033344,Evaluation by Environment and Climate Change Canada of the ongoing need for the Emergency Order for the Protection of the Western Chorus Frog (Longueuil),2025-09-27,2025-12-29,O,ec
C-0033347,"Draft Assessment for Manganese and its Compounds, and the Risk Management Scope",2025-10-25,2025-12-24,O,ec
STC0000075,Contribute to Statistics Canada's Web modernization Journey,2025-05-20,2025-12-19,O,statcan
STC0000078,Share your experiences with the Labour Force Survey,2025-10-01,2025-12-12,O,statcan
C-003292,Consultation on Amending the List of Species under the Species at Risk Act: Terrestrial Species January 2025,2024-12-10,2025-10-19,O,ec
C-8,Engagement on renewing Canada’s National Financial Literacy Strategy,2025-09-12,2025-09-19,O,fcac-acfc
C-0000144,Alexander Graham Bell National Historic Site Management Plan,2025-06-23,2025-07-31,O,pc
STC0000058,Invitation to participate in the revision of the North American Industry Classification System (NAICS) Canada,2023-08-24,2025-06-30,O,statcan
STC0000059,Invitation to participate in the revision of the North American Product Classification System (NAPCS) Canada,2023-08-25,2025-06-30,O,statcan
C-1000002,Watchlist 2025 mid-cycle consultations with industry,2024-10-07,2025-05-31,O,tsb-bst
C-0000133,Visitor Use Management - Lake Louise Area,2026-02-03,2025-03-09,O,pc
C-0000137,Town of Banff Railways Lands Area Redevelopment Plan - Term of Reference for Strategic Environmental Assessment,2024-12-18,2025-01-30,O,pc
STC-0000052,Missing persons data standards consultative engagement,2023-06-22,2024-12-31,O,statcan
C-0000136,Public Engagement on the Strategic Environmental Assessment for the Town of Banff railway lands area redevelopment plan,2024-12-16,2024-12-30,O,pc
C-000048,Share your thoughts about closed captioning of programming from online streaming services,2024-11-18,2024-12-20,O,crtc
STC-0000066,Invitation to participate in the revision of the National Occupational Classification (NOC),2024-04-09,2024-11-15,O,statcan
C-0235,"Consultation on a Policy, and Licensing, and Technical Framework for Supplemental Mobile Coverage by Satellite",2024-06-17,2024-10-25,O,ic
C-0000127,Visitor Use Management - Jasper National Park,2024-06-18,2024-09-13,O,pc
STC-0000065,Invitation to participate in the revision of the Classification of Instructional Programs (CIP) Canada,2024-04-15,2024-07-31,O,statcan
C-0158,Notice No. TIPB-001-2024 — Petition to the Governor in Council concerning Telecom Decision CRTC 2023-358,2024-04-27,2024-06-11,O,ic
C-0000124,Fortress of Louisbourg National Historic Site Management Plan,2024-05-06,2024-06-07,O,pc
C-0000119,Notice of Mooring Restrictions – Ontario Waterways - Trent-Severn Waterway National Historic Site,2024-03-07,2024-04-07,O,pc
C-0000120,Notice of Mooring Restrictions – Ontario Waterways - Rideau Canal National Historic Site,2024-03-11,2024-04-07,O,pc
698,Digitizing the Travel Journey at Airports,2023-04-01,2024-03-31,O,tc
