registration_number,title_en,start_date,end_date,status,owner_org
C202504,"REGDOC-3.2.2, Indigenous Engagement",2026-01-12,2026-03-09,P,cnsc-ccsn
1120,Canadian experience with vehicle headlights and glare during night-time driving,2026-01-12,2026-03-13,P,tc
DFO20250506,Resilient and Adaptive Fisheries Strategy,2026-01-07,2026-02-18,P,dfo-mpo
C-0255,Consultation on Level 3 Electric Vehicle Supply Equipment (EVSE) Inspection Specifications and Procedures,2026-01-06,2026-02-14,P,ic
C-0000127,Consultations on the Next Agricultural Policy Framework,2026-01-01,2027-12-31,P,aafc-aac
C202504,"REGDOC-3.2.2, Indigenous Engagement",2025-12-18,2026-03-09,P,cnsc-ccsn
C-0261,"Amendments to Superintendent's directives relating to cybersecurity guidelines, minimum requirements and measures for the Licensed Insolvency Trustee community",2025-12-12,2026-01-12,P,ic
DFO20251113,Newfoundland and Labrador Aquatic Invasive Species (AIS) Advisory Committee,2025-12-10,2025-12-10,P,dfo-mpo
1098,Commercial Air Services Standards Omnibus Package,2025-12-01,2026-02-01,P,tc
DFO20250606-02,Management plan for the Channel Darter (St.Lawrence population),2025-12-01,2026-01-31,P,dfo-mpo
C00112,Consultations on federal leadership in Emergency Management,2025-11-28,2026-02-28,P,ps-sp
D00103,"Independent Review of the Preclearance Act, 2016",2025-11-26,2026-01-16,P,ps-sp
DFO20251107,Great Slave Lake Integrated Fisheries Management Plan,2025-11-25,2026-03-01,P,dfo-mpo
C-0256,"Amendments to Directive No 2R2, Joint Filing, and to various forms",2025-11-21,2025-12-21,P,ic
C-1235726,Consultations for the 2026 Annual Report on the 2030 Agenda and the Sustainable Development Goals,2025-11-17,2025-12-19,P,esdc-edsc
C-0261,"Amendments to Superintendent's directives relating to cybersecurity guidelines, minimum requirements and measures for the Licensed Insolvency Trustee community",2025-11-12,2025-12-12,P,ic
C-2025-004,Potential regulatory amendments to the Valuation for Duty Regulations,2025-11-10,2025-12-10,P,cbsa-asfc
C202504,"REGDOC-3.2.2, Indigenous Engagement",2025-11-10,2026-03-09,P,cnsc-ccsn
C-0185,"Amendments to Directive No 11R3, Surplus Income Directive",2025-11-10,2025-12-10,P,ic
687,TBD: Zero Emission Vehicle Safety (Electric Battery and Hydrogen),2025-11-05,2026-01-04,P,tc
687,TBD: AZero Emission Vehicle Safety (Electric Battery and Hydrogen),2025-11-05,2026-01-04,P,tc
1019,Canadian Marine Advisory Council - Fall 2025,2025-11-04,2025-11-06,P,tc
C-2025-001,Administrative Monetary Penalty System Review,2025-11-03,2025-12-19,P,cbsa-asfc
C-1235726,Consultations for the 2026 Annual Report on the 2030 Agenda and the Sustainable Development Goals,2025-11-03,2025-12-19,P,esdc-edsc
1019,Canadian Marine Advisory Council - Fall 2025,2025-11-03,2025-11-05,P,tc
C202504,"REGDOC-3.2.2, Indigenous Engagement",2025-11-03,2026-03-09,P,cnsc-ccsn
C-0256,"Amendments to Directive No 2R2, Joint Filing, and to various forms",2025-10-14,2025-11-15,P,ic
